label,tags_count,hashtags_count,quotes,url,full_cap_words_count,cap_words_count,tag_realDonaldTrump,tweet_length,NN,DT,IN,JJ,NNS,VBZ,VBD,hr_publish_time_noon,hr_publish_time_evening-night
0,0,0,0,0,0,0.357142857,0,0.659,0,0,0.107142857,0.107142857,0.035714286,0.035714286,0.035714286,1,0
1,0,0,0,0,0.08,0.32,0,0.585,0.04,0.08,0.08,0.08,0.04,0.08,0,0,1
0,0,0,1,0,0,0.238095238,0,0.488,0.19047619,0.047619048,0.047619048,0.047619048,0,0.047619048,0,1,0
0,0,0,1,0,0.045454545,0.227272727,0,0.512,0.136363636,0.090909091,0,0.090909091,0,0,0,1,0
0,0,0,0,0,0.083333333,0.333333333,0,0.561,0.083333333,0.041666667,0.166666667,0,0.041666667,0.083333333,0,1,0
1,0,0.143,0,1,0,0.571428571,0,0.146,0.142857143,0,0,0.142857143,0,0.142857143,0,0,1
1,0,0,0,1,0,0.230769231,0,0.293,0.230769231,0.076923077,0.153846154,0.076923077,0,0.076923077,0,0,1
1,0,0.143,0,1,0.076923077,0.153846154,0,0.61,0.076923077,0,0.038461538,0,0.038461538,0,0,0,1
1,0.125,0.143,0,1,0,0.2,0,0.463,0.25,0,0.1,0.05,0.05,0,0,0,1
1,0,0,0,1,0,0.181818182,0,0.244,0.272727273,0,0,0.090909091,0.090909091,0,0,0,1
1,0,0,0,1,0.083333333,0.208333333,0,0.561,0.125,0,0.041666667,0.041666667,0,0,0,0,1
1,0,0.143,0,1,0,0,0,0.024,1,0,0,0,0,0,0,0,1
1,0,0.143,0,1,0,0,0,0.024,1,0,0,0,0,0,0,0,1
1,0,0.143,0,1,0,0,0,0.024,1,0,0,0,0,0,0,0,1
1,0,0.143,0,1,0,0.142857143,0,0.488,0.19047619,0.095238095,0.095238095,0,0,0.047619048,0,0,1
0,0,0,0,0,0,0.269230769,0,0.61,0.076923077,0.115384615,0.153846154,0.038461538,0.038461538,0.076923077,0.038461538,1,0
0,0,0,0,0,0,0.137931034,0,0.683,0.068965517,0.034482759,0.068965517,0.034482759,0.068965517,0.068965517,0.068965517,1,0
0,0,0,0,0,0.071428571,0.25,0,0.659,0.107142857,0.035714286,0.071428571,0.035714286,0.035714286,0.071428571,0.035714286,1,0
0,0,0,0,0,0.076923077,0.307692308,0,0.61,0.076923077,0,0.076923077,0.038461538,0.038461538,0.038461538,0,1,0
